4   12. Hafta              Schalke  |  Eintracht Frankfurt  |  0 - 2
5   12. Hafta    Borussia Dortmund  |   Fortuna Düsseldorf  |  0 - 4
6   12. Hafta            Wolfsburg  |           RB Leipzig  |  4 - 1
7   12. Hafta           Hoffenheim  |             Augsburg  |  4 - 0
8   12. Hafta     Bayer Leverkusen  |           Hoffenheim  |  1 - 5
9   12. Hafta  Eintracht Frankfurt  |            Paderborn  |  3 - 3
10  12. Hafta         Union Berlin  |             Freiburg  |  1 - 1
11  12. Hafta             Augsburg  |      Mönchengladbach  |  2 - 0
12  12. Hafta                Mainz  |           Schalke 04  |  1 - 2
13  12. Hafta        Werder Bremen  |            Wolfsburg  |  0 - 2
14  12. Hafta        Hertha Berlin  |       Bayern München  |  0 - 4
15  12. Hafta   Fortuna Düsseldorf  |                 Köln  |  4 - 1
16  12. Hafta                 Köln  |        Hertha Berlin  |  4 - 0
17  12. Hafta            Paderborn  |             Mainz 05  |  1 - 5


    13. Hafta             Sıralama  |              Fixture ||  Sonuç
0   13. Hafta      Mönchengladbach  |           Schalke 04  |  2 - 1
1   13. Hafta           RB Leipzig  |                 Köln  |  1 - 1
2   13. Hafta              Schalke  |            Paderborn  |  2 - 3
3   13. Hafta       Bayern München  |           Hoffenheim  |  1 - 1
4   13. Hafta    Borussia Dortmund  |        Hertha Berlin  |  1 - 2
5   13. Hafta             Freiburg  |       Bayern München  |  1 - 2
6   13. Hafta     Bayer Leverkusen  |      Mönchengladbach  |  4 - 2
7   13. Hafta           Hoffenheim  |            Wolfsburg  |  2 - 3
8   13. Hafta            Wolfsburg  |             Mainz 05  |  2 - 1
9   13. Hafta  Eintracht Frankfurt  |         Union Berlin  |  2 - 1
10  13. Hafta         Union Berlin  |             Augsburg  |  1 - 1
11  13. Hafta                Mainz  |           RB Leipzig  |  2 - 3
12  13. Hafta        Werder Bremen  |   Fortuna Düsseldorf  |  1 - 1
13  13. Hafta             Augsburg  |    Borussia Dortmund  |  1 - 2
14  13. Hafta   Fortuna Düsseldorf  |     Bayer Leverkusen  |  1 - 2
15  13. Hafta        Hertha Berlin  |             Freiburg  |  4 - 2
16  13. Hafta                 Köln  |        Werder Bremen  |  2 - 3
17  13. Hafta            Paderborn  |  Eintracht Frankfurt  |  2 - 1


    14. Hafta             Sıralama  |              Fixture ||  Sonuç
0   14. Hafta      Mönchengladbach  |  Eintracht Frankfurt  |  2 - 2
1   14. Hafta           RB Leipzig  |             Freiburg  |  1 - 0
2   14. Hafta    Borussia Dortmund  |             Augsburg  |  2 - 1
3   14. Hafta              Schalke  |           RB Leipzig  |  3 - 1
4   14. Hafta             Freiburg  |      Mönchengladbach  |  2 - 1
5   14. Hafta     Bayer Leverkusen  |    Borussia Dortmund  |  5 - 0
6   14. Hafta       Bayern München  |     Bayer Leverkusen  |  2 - 1
7   14. Hafta           Hoffenheim  |         Union Berlin  |  2 - 0
8   14. Hafta            Wolfsburg  |        Werder Bremen  |  0 - 1
9   14. Hafta         Union Berlin  |        Hertha Berlin  |  2 - 2
10  14. Hafta  Eintracht Frankfurt  |            Wolfsburg  |  1 - 0
11  14. Hafta             Augsburg  |             Mainz 05  |  2 - 1
12  14. Hafta                Mainz  |           Hoffenheim  |  3 - 1
13  14. Hafta        Werder Bremen  |       Bayern München  |  2 - 1
14  14. Hafta        Hertha Berlin  |   Fortuna Düsseldorf  |  5 - 0
15  14. Hafta   Fortuna Düsseldorf  |           Schalke 04  |  2 - 1
16  14. Hafta            Paderborn  |                 Köln  |  2 - 0
17  14. Hafta                 Köln  |            Paderborn  |  0 - 1


    15. Hafta             Sıralama  |              Fixture ||  Sonuç
0   15. Hafta           RB Leipzig  |           Hoffenheim  |  2 - 4
1   15. Hafta      Mönchengladbach  |        Hertha Berlin  |  1 - 0
2   15. Hafta    Borussia Dortmund  |            Paderborn  |  1 - 1
3   15. Hafta              Schalke  |                 Köln  |  2 - 0
4   15. Hafta       Bayern München  |       Bayern München  |  6 - 1
5   15. Hafta             Freiburg  |             Mainz 05  |  0 - 4
6   15. Hafta     Bayer Leverkusen  |   Fortuna Düsseldorf  |  0 - 3
7   15. Hafta            Wolfsburg  |            Wolfsburg  |  2 - 1
8   15. Hafta           Hoffenheim  |           Schalke 04  |  1 - 0
9   15. Hafta         Union Berlin  |             Augsburg  |  2 - 4
10  15. Hafta             Augsburg  |             Freiburg  |  1 - 0
11  15. Hafta  Eintracht Frankfurt  |         Union Berlin  |  1 - 1
12  15. Hafta        Hertha Berlin  |     Bayer Leverkusen  |  2 - 0
13  15. Hafta                Mainz  |        Werder Bremen  |  6 - 1
14  15. Hafta        Werder Bremen  |    Borussia Dortmund  |  0 - 4
15  15. Hafta   Fortuna Düsseldorf  |           RB Leipzig  |  0 - 3
16  15. Hafta                 Köln  |      Mönchengladbach  |  2 - 1
17  15. Hafta            Paderborn  |  Eintracht Frankfurt  |  1 - 0


    16. Hafta             Sıralama  |              Fixture ||  Sonuç
0   16. Hafta           RB Leipzig  |        Werder Bremen  |  0 - 5
1   16. Hafta      Mönchengladbach  |             Augsburg  |  3 - 0
2   16. Hafta       Bayern München  |         Union Berlin  |  0 - 2
3   16. Hafta    Borussia Dortmund  |    Borussia Dortmund  |  3 - 3
4   16. Hafta              Schalke  |     Bayer Leverkusen  |  0 - 1
5   16. Hafta             Freiburg  |      Mönchengladbach  |  2 - 0
6   16. Hafta     Bayer Leverkusen  |             Freiburg  |  1 - 3
7   16. Hafta            Wolfsburg  |  Eintracht Frankfurt  |  2 - 4
8   16. Hafta           Hoffenheim  |            Wolfsburg  |  1 - 1
9   16. Hafta             Augsburg  |             Mainz 05  |  0 - 5
10  16. Hafta         Union Berlin  |   Fortuna Düsseldorf  |  3 - 0
11  16. Hafta  Eintracht Frankfurt  |           Hoffenheim  |  0 - 2
12  16. Hafta        Hertha Berlin  |           RB Leipzig  |  3 - 3
13  16. Hafta                Mainz  |        Hertha Berlin  |  0 - 1
14  16. Hafta                 Köln  |            Paderborn  |  2 - 0
15  16. Hafta        Werder Bremen  |       Bayern München  |  1 - 3
16  16. Hafta   Fortuna Düsseldorf  |                 Köln  |  2 - 4
17  16. Hafta            Paderborn  |           Schalke 04  |  1 - 1


    17. Hafta             Sıralama  |              Fixture ||  Sonuç
0   17. Hafta           RB Leipzig  |           Hoffenheim  |  2 - 1
1   17. Hafta      Mönchengladbach  |                 Köln  |  1 - 0
2   17. Hafta       Bayern München  |           RB Leipzig  |  3 - 1
3   17. Hafta    Borussia Dortmund  |             Mainz 05  |  0 - 1
4   17. Hafta              Schalke  |           Schalke 04  |  2 - 2
5   17. Hafta     Bayer Leverkusen  |       Bayern München  |  2 - 0
6   17. Hafta           Hoffenheim  |        Hertha Berlin  |  0 - 0
